length,y0,y1,y2,total
4,41,0,0,41
5,914,0,0,914
6,5810,0,0,5810
7,8130,0,0,8130
8,7990,1,0,7991
9,7281,0,0,7281
10,5428,1,0,5429
11,4457,3,0,4460
12,3218,11,0,3229
13,2571,42,0,2613
14,1518,77,0,1595
15,787,150,0,937
16,446,193,3,642
17,90,318,9,417
18,12,396,21,429
19,1,364,45,410
20,1,257,92,350
21,0,160,136,296
22,0,106,137,243
23,0,67,133,200
24,0,40,114,154
25,0,32,99,131
26,0,24,62,86
27,0,10,35,45
28,0,5,24,29
29,0,0,7,7
30,0,1,3,4
31,0,0,4,4
32,0,0,1,1
33,0,0,3,3
34,0,0,0,0
35,0,0,0,0
36,0,0,0,0
37,0,0,0,0
38,0,0,0,0
39,0,0,0,0
40,0,0,0,0
